,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
375,0.846954377,0.83859117,0.826381377,0.847149624,0.84322172,0.842560105,0.832119026,0.84430828,0.828911544,0.845383218
376,0.844998007,0.834152161,0.822582529,0.841336235,0.840881305,0.843702698,0.830610167,0.840452383,0.828507069,0.84690594
377,0.843774598,0.836169329,0.828916612,0.831342215,0.842069832,0.828327628,0.81224707,0.825236467,0.826331209,0.836545001
378,0.854436598,0.82951778,0.835896849,0.847839558,0.844730724,0.849813508,0.83156209,0.836424665,0.839404115,0.854882692
379,0.851063075,0.819866731,0.831838755,0.844713579,0.848874581,0.84445314,0.830834955,0.839765189,0.839874907,0.847647145
380,0.850534898,0.823366092,0.817128952,0.851965885,0.851263896,0.842901676,0.834681518,0.835442592,0.837647255,0.844654041
381,0.851556366,0.825738963,0.820300063,0.853604055,0.851675255,0.836757735,0.840946278,0.837589359,0.845814662,0.851517379
382,0.849959888,0.82332921,0.832592983,0.848161435,0.852387941,0.839630442,0.843908181,0.837788819,0.847551432,0.853237669
383,0.848730419,0.826085018,0.847007329,0.85090141,0.849325841,0.843259742,0.840528395,0.837478383,0.843970563,0.850312013
384,0.833038279,0.818880343,0.840164728,0.836083218,0.835330337,0.842134583,0.830033122,0.824424204,0.830546887,0.842785621
385,0.8427611,0.819193232,0.840390818,0.843838185,0.843815748,0.838917657,0.828930845,0.833736216,0.830946158,0.844288092
386,0.844777097,0.835791486,0.834717537,0.839106457,0.839652012,0.836852427,0.830624628,0.83571574,0.833889627,0.847024433
387,0.841671465,0.818555571,0.842265232,0.848334551,0.847515254,0.842010645,0.839666705,0.841912218,0.838931732,0.851730462
388,0.839490501,0.811876658,0.838101748,0.849549789,0.849391394,0.837879006,0.840164323,0.840127994,0.8362313,0.848741339
389,0.843769875,0.805031011,0.840722337,0.84460942,0.850449888,0.839030646,0.840046062,0.830242017,0.830604972,0.845969458
390,0.835409246,0.815913557,0.800172271,0.832444924,0.832895225,0.800313323,0.809388946,0.809603975,0.822150088,0.829076118
391,0.837451365,0.805081954,0.829150198,0.839064284,0.833074105,0.82236209,0.81987104,0.822076865,0.823939175,0.838183648
392,0.846149236,0.791376028,0.837471446,0.837579212,0.831862964,0.824288461,0.820662578,0.82957802,0.818408802,0.841867443
393,0.843472508,0.812021224,0.833144538,0.834603902,0.838571906,0.829202403,0.821469091,0.825324136,0.822479515,0.83946915
394,0.843796632,0.806884606,0.830058614,0.834746539,0.834283463,0.827460195,0.81774338,0.817398232,0.82460298,0.840826095
395,0.847801794,0.822826398,0.83425434,0.845451617,0.835624511,0.835524472,0.826909858,0.825885082,0.831322208,0.845785839
396,0.84088079,0.814353164,0.841997103,0.83935978,0.843222706,0.834281903,0.82569388,0.825690992,0.832956241,0.843370284
397,0.835216767,0.832465027,0.830910823,0.836468684,0.836965083,0.824481021,0.802488439,0.814434235,0.830482457,0.829727481
398,0.842971039,0.823118978,0.833057823,0.838875476,0.839733585,0.827628309,0.811875736,0.813711087,0.832542439,0.834460406
399,0.825688654,0.83402392,0.825766282,0.835047971,0.819139184,0.812508027,0.801153242,0.797516996,0.816765288,0.827351655
400,0.83635919,0.804765336,0.84064097,0.841388754,0.834236951,0.818218434,0.804112991,0.802163954,0.824306015,0.82983487
401,0.845475079,0.823977411,0.833029659,0.842047531,0.842182542,0.826711135,0.823938478,0.830806669,0.829214357,0.842310251
402,0.838829624,0.802510157,0.835663803,0.839335832,0.838672442,0.822152486,0.82070925,0.832232185,0.822381896,0.832681293
403,0.84306721,0.800237942,0.832081919,0.842696958,0.843116748,0.833761035,0.827701617,0.833008973,0.830919557,0.843310695
404,0.842173561,0.828106361,0.82763737,0.839253451,0.843409335,0.829788878,0.818459814,0.817825684,0.817475003,0.828383229
405,0.834915405,0.824008649,0.827210131,0.838897475,0.837480398,0.830044082,0.822936904,0.823056647,0.821420767,0.839743881
406,0.820315304,0.806339065,0.816529609,0.838748059,0.823774593,0.820826534,0.81813693,0.822511687,0.819714568,0.835730617
407,0.845591562,0.801944751,0.832164039,0.838729372,0.824737359,0.83375656,0.827072927,0.819108207,0.831579591,0.842432989
408,0.85071019,0.803888538,0.842015434,0.844963773,0.813681192,0.841245274,0.82891039,0.834293692,0.835096631,0.848374623
409,0.84100081,0.799072311,0.838096368,0.835375626,0.798249833,0.836151067,0.823728259,0.829052029,0.830226285,0.844145249
410,0.837120244,0.814060012,0.841025539,0.837956431,0.804541908,0.843395865,0.822741637,0.827087077,0.834212373,0.846999059
411,0.848951,0.829417753,0.84774077,0.840977717,0.835095555,0.840422113,0.824465213,0.828703991,0.837343071,0.84684008
412,0.847578709,0.819041789,0.845186927,0.840529764,0.832379618,0.838081374,0.82878172,0.827663381,0.835587102,0.844942216
413,0.852006051,0.814194992,0.846587615,0.850861519,0.838809322,0.842919602,0.831425023,0.829556162,0.839602606,0.849051955
414,0.848989412,0.814619315,0.847788084,0.848998167,0.840826522,0.846036553,0.839498052,0.840119807,0.841071567,0.850893337
415,0.849198831,0.815208839,0.846774972,0.846700356,0.840044719,0.847669782,0.840575097,0.836512023,0.839190501,0.852983072
416,0.848557389,0.805891327,0.847274285,0.846220697,0.837389348,0.839743833,0.837037137,0.83773843,0.832309411,0.852341722
417,0.831946457,0.70307907,0.844462493,0.832692138,0.824792939,0.835968606,0.83122616,0.838906765,0.826437527,0.848415026
418,0.751281129,0.711155138,0.752100255,0.753883788,0.749944767,0.740629525,0.743864604,0.745973596,0.73632459,0.756529302
419,0.751755244,0.720837114,0.748061459,0.753472765,0.752495949,0.73642182,0.738401316,0.743796085,0.738019352,0.751409631
420,0.742406909,0.723989141,0.748049796,0.755443947,0.751213397,0.74357526,0.74760577,0.746477609,0.739296323,0.755039859
421,0.751971923,0.710348785,0.757018193,0.757397075,0.752185659,0.750095579,0.750817581,0.742051693,0.741966168,0.758337431
422,0.754541767,0.703675285,0.759971272,0.760167364,0.755165497,0.751616594,0.753075444,0.75240998,0.744410975,0.758247898
423,0.726706297,0.691332007,0.738636653,0.736276814,0.751576069,0.734143438,0.736908547,0.721456547,0.736738951,0.734234541
424,0.788815319,0.770678177,0.834157516,0.820248024,0.811938821,0.785249654,0.790558211,0.78026452,0.793257732,0.802283467
425,0.836124901,0.789440557,0.831978121,0.83164524,0.828077898,0.808690511,0.800969607,0.798710733,0.819799509,0.817704485
426,0.758458304,0.726640154,0.75276086,0.753422826,0.751353351,0.751947245,0.741976876,0.736885725,0.749372513,0.753049644
427,0.75799861,0.71136573,0.751926246,0.750116157,0.759020168,0.75102924,0.744540639,0.737475187,0.750673432,0.75171627
428,0.756849668,0.686181341,0.753981012,0.751603428,0.757027402,0.752433462,0.740276254,0.747434002,0.753395289,0.754705824
429,0.711152784,0.698146912,0.708715437,0.71061138,0.710551955,0.709626925,0.702044585,0.706109258,0.707123385,0.710021524
430,0.713005348,0.707003524,0.711723167,0.710243207,0.711387408,0.712159495,0.705664402,0.708704193,0.707719415,0.712015964
431,0.674287008,0.650644066,0.70144765,0.701254642,0.696739304,0.69646744,0.689438222,0.702252665,0.688481396,0.69738687
432,0.709612271,0.704113339,0.708358608,0.70466229,0.710981432,0.702498076,0.695909847,0.699880388,0.691250365,0.703929635
433,0.713443098,0.705398424,0.709247254,0.713102699,0.712824956,0.707574885,0.708975254,0.709548233,0.703220466,0.711986538
434,0.713942258,0.711235501,0.705744961,0.713717828,0.71384387,0.708780285,0.709395409,0.709669216,0.70638066,0.713610061
435,0.714014519,0.705528192,0.705720041,0.71408212,0.713840021,0.711367554,0.710513598,0.711600894,0.707873145,0.714036204
